N,P,K,ph,Organic Matter (%),Soil Texture,Irrigation Source,Region,Suitable Crops
65,37,40,5.333322606,4.717560751,Loamy,Rain-fed,Faisalabad,"Cotton, Sugarcane"
71,54,16,5.749914421,3.169390702,Loamy,Rain-fed,Rawalpindi,"Barley, Maize"
61,44,17,6.931756558,3.616450185,Loamy,Canal,Bahawalpur,"Dates, Millet"
80,43,16,6.657964753,1.203472299,Loamy,Rain-fed,Faisalabad,"Cotton, Sugarcane"
73,58,21,6.596060648,2.231136891,Clayey,Tube well,Faisalabad,"Cotton, Sugarcane"
61,38,20,5.970458434,4.212752525,Loamy,Rain-fed,Multan,"Mango, Wheat"
68,41,16,6.158830619,4.224884218,Clayey,Canal,Multan,"Mango, Wheat"
93,41,17,6.047906679,2.04459522,Loamy,Canal,Rawalpindi,"Barley, Maize"
89,60,19,5.913664501,4.799082743,Loamy,Tube well,Faisalabad,"Cotton, Sugarcane"
76,44,17,5.855442401,3.797611529,Clayey,Canal,Rawalpindi,"Barley, Maize"
67,60,25,5.750254943,3.866610926,Sandy,Canal,Multan,"Mango, Wheat"
70,44,19,5.852607099,1.552572499,Loamy,Canal,Bahawalpur,"Dates, Millet"
90,49,21,6.472523287,1.050004051,Loamy,Tube well,Multan,"Mango, Wheat"
62,52,16,6.967057762,2.256510834,Loamy,Tube well,Bahawalpur,"Dates, Millet"
92,44,16,6.082973754,1.537432611,Clayey,Tube well,Faisalabad,"Cotton, Sugarcane"
66,54,21,5.919045532,2.478297405,Sandy,Canal,Bahawalpur,"Dates, Millet"
63,58,22,6.204747653,1.430519347,Sandy,Canal,Faisalabad,"Cotton, Sugarcane"
70,47,17,6.600827017,2.579715361,Clayey,Rain-fed,Multan,"Mango, Wheat"
61,41,17,6.021902237,1.484453107,Sandy,Rain-fed,Rawalpindi,"Barley, Maize"
66,53,19,6.033550195,1.16754701,Sandy,Tube well,Lahore,"Wheat, Rice"
74,55,19,6.28886807,2.746249475,Sandy,Tube well,Faisalabad,"Cotton, Sugarcane"
77,57,21,6.550563823,2.932805733,Clayey,Rain-fed,Faisalabad,"Cotton, Sugarcane"
99,50,15,5.573286437,3.056941437,Loamy,Rain-fed,Lahore,"Wheat, Rice"
74,56,22,6.829199275,4.758076768,Loamy,Rain-fed,Multan,"Mango, Wheat"
83,45,21,5.716222912,2.173057256,Loamy,Rain-fed,Bahawalpur,"Dates, Millet"
100,48,16,5.54990242,1.933097743,Loamy,Canal,Faisalabad,"Cotton, Sugarcane"
79,51,16,6.586244581,4.585670153,Clayey,Canal,Bahawalpur,"Dates, Millet"
94,39,18,5.893093135,2.254548589,Sandy,Canal,Multan,"Mango, Wheat"
75,49,15,5.918263801,1.391641203,Sandy,Rain-fed,Multan,"Mango, Wheat"
78,48,22,5.588650585,1.012245778,Loamy,Canal,Bahawalpur,"Dates, Millet"
87,54,20,6.576418207,1.34904616,Clayey,Canal,Multan,"Mango, Wheat"
87,35,25,6.178056304,1.844819955,Sandy,Canal,Rawalpindi,"Barley, Maize"
63,43,19,6.641906353,3.882323252,Clayey,Canal,Lahore,"Wheat, Rice"
84,57,25,6.489040367,0.912710682,Clayey,Canal,Bahawalpur,"Dates, Millet"
64,35,23,5.680361038,2.172694147,Sandy,Tube well,Rawalpindi,"Barley, Maize"
60,46,22,6.625404348,4.753825077,Loamy,Rain-fed,Faisalabad,"Cotton, Sugarcane"
98,44,21,6.524478032,1.056002877,Loamy,Tube well,Faisalabad,"Cotton, Sugarcane"
75,56,18,5.696205468,4.710434911,Loamy,Tube well,Lahore,"Wheat, Rice"
86,55,21,6.803931519,3.653249191,Sandy,Tube well,Rawalpindi,"Barley, Maize"
98,35,18,6.252797548,4.427337701,Loamy,Tube well,Lahore,"Wheat, Rice"
76,57,18,6.092725883,3.265687934,Clayey,Tube well,Faisalabad,"Cotton, Sugarcane"
99,56,17,6.234330356,1.48168561,Clayey,Canal,Lahore,"Wheat, Rice"
60,44,23,5.722579819,0.743466391,Loamy,Canal,Faisalabad,"Cotton, Sugarcane"
74,48,17,6.430616465,4.577728324,Clayey,Rain-fed,Lahore,"Wheat, Rice"
89,60,17,5.983952675,4.577609219,Loamy,Tube well,Rawalpindi,"Barley, Maize"
69,51,23,6.80163854,1.197384381,Loamy,Rain-fed,Bahawalpur,"Dates, Millet"
96,46,22,6.499936446,1.565131705,Clayey,Rain-fed,Lahore,"Wheat, Rice"
61,60,15,6.265564338,4.492738181,Loamy,Tube well,Lahore,"Wheat, Rice"
74,58,18,6.727303282,1.652920242,Sandy,Rain-fed,Bahawalpur,"Dates, Millet"
74,43,23,6.325235159,3.25011689,Clayey,Tube well,Lahore,"Wheat, Rice"
63,43,17,6.807487794,1.790016359,Sandy,Canal,Rawalpindi,"Barley, Maize"
99,36,20,6.671085817,0.925362727,Loamy,Rain-fed,Bahawalpur,"Dates, Millet"
77,36,23,6.648725327,2.067447253,Loamy,Canal,Multan,"Mango, Wheat"
87,60,23,6.439071996,3.64880602,Sandy,Rain-fed,Rawalpindi,"Barley, Maize"
60,38,17,6.474476516,4.504141689,Loamy,Canal,Rawalpindi,"Barley, Maize"
94,54,17,5.871647806,4.072558595,Clayey,Canal,Multan,"Mango, Wheat"
95,38,22,5.730617109,1.496201269,Loamy,Canal,Rawalpindi,"Barley, Maize"
84,44,21,5.850439831,2.692374161,Clayey,Canal,Rawalpindi,"Barley, Maize"
77,58,19,5.791649933,3.491741262,Clayey,Rain-fed,Faisalabad,"Cotton, Sugarcane"
66,44,20,6.740000688,2.646794003,Sandy,Tube well,Bahawalpur,"Dates, Millet"
63,35,16,6.272417541,3.517905027,Clayey,Canal,Faisalabad,"Cotton, Sugarcane"
79,45,20,5.715208817,2.817551504,Clayey,Rain-fed,Lahore,"Wheat, Rice"
72,60,25,5.773454729,4.384990279,Sandy,Canal,Lahore,"Wheat, Rice"
67,51,24,5.584171461,4.817102643,Sandy,Tube well,Multan,"Mango, Wheat"
86,36,24,5.787268394,4.528911663,Clayey,Rain-fed,Lahore,"Wheat, Rice"
76,48,18,5.77597783,4.202020991,Sandy,Canal,Rawalpindi,"Barley, Maize"
75,53,18,6.864793607,4.90942289,Clayey,Canal,Multan,"Mango, Wheat"
81,45,23,6.192360003,3.743291245,Clayey,Canal,Bahawalpur,"Dates, Millet"
73,45,21,6.636803223,0.750398976,Clayey,Rain-fed,Bahawalpur,"Dates, Millet"
71,35,24,5.826426917,4.152340905,Loamy,Tube well,Multan,"Mango, Wheat"
96,54,22,6.960358276,2.659776556,Sandy,Tube well,Lahore,"Wheat, Rice"
99,39,18,6.11275104,1.191316097,Loamy,Canal,Multan,"Mango, Wheat"
62,48,20,6.708446922,3.390286132,Loamy,Canal,Multan,"Mango, Wheat"
86,37,16,5.561510732,4.081894447,Loamy,Rain-fed,Multan,"Mango, Wheat"
94,50,19,5.873242491,0.609170977,Clayey,Tube well,Multan,"Mango, Wheat"
76,39,24,6.995843776,3.819461063,Loamy,Tube well,Lahore,"Wheat, Rice"
77,52,17,5.714799723,2.356603995,Clayey,Tube well,Rawalpindi,"Barley, Maize"
74,39,23,6.78073637,1.330408375,Loamy,Canal,Rawalpindi,"Barley, Maize"
81,49,20,5.513697923,0.82806787,Clayey,Canal,Lahore,"Wheat, Rice"
63,42,21,5.798423908,1.532219115,Loamy,Rain-fed,Faisalabad,"Cotton, Sugarcane"
99,38,21,6.352471866,3.621752362,Sandy,Rain-fed,Multan,"Mango, Wheat"
90,52,25,6.822586546,1.021446042,Clayey,Rain-fed,Rawalpindi,"Barley, Maize"
68,40,19,6.655426355,0.762855122,Loamy,Canal,Multan,"Mango, Wheat"
60,57,24,6.121294041,1.083919559,Loamy,Tube well,Rawalpindi,"Barley, Maize"
71,52,18,5.790770203,2.589294359,Clayey,Canal,Bahawalpur,"Dates, Millet"
61,59,17,6.47444292,1.854065735,Clayey,Canal,Multan,"Mango, Wheat"
88,38,15,6.455116637,3.206324223,Loamy,Tube well,Bahawalpur,"Dates, Millet"
65,60,22,6.606984086,0.588154673,Clayey,Canal,Lahore,"Wheat, Rice"
78,37,22,6.330554389,4.825625801,Clayey,Rain-fed,Faisalabad,"Cotton, Sugarcane"
78,58,15,6.528631266,2.425396627,Loamy,Tube well,Lahore,"Wheat, Rice"
92,60,23,5.721667141,2.946373386,Clayey,Tube well,Bahawalpur,"Dates, Millet"
79,59,17,6.644205485,1.978771254,Sandy,Tube well,Rawalpindi,"Barley, Maize"
91,55,15,6.376651091,1.589014776,Loamy,Rain-fed,Multan,"Mango, Wheat"
76,51,18,6.247040422,3.660658756,Sandy,Canal,Faisalabad,"Cotton, Sugarcane"
87,48,25,6.656730008,2.054358139,Sandy,Canal,Bahawalpur,"Dates, Millet"
71,60,22,6.2048017,1.018202468,Loamy,Rain-fed,Multan,"Mango, Wheat"
90,57,24,6.158860284,0.853262654,Sandy,Tube well,Lahore,"Wheat, Rice"
67,35,22,6.385684214,2.044905741,Sandy,Canal,Rawalpindi,"Barley, Maize"
60,54,19,6.417820493,4.882920536,Sandy,Rain-fed,Faisalabad,"Cotton, Sugarcane"
83,58,23,6.381201909,4.106582147,Loamy,Tube well,Lahore,"Wheat, Rice"
83,57,19,6.877869005,0.623180562,Clayey,Tube well,Bahawalpur,"Dates, Millet"
40,72,77,7.485996067,2.314448947,Sandy,Tube well,Faisalabad,"Cotton, Sugarcane"
23,72,84,6.920251378,1.267371724,Sandy,Rain-fed,Rawalpindi,"Barley, Maize"
39,58,85,5.996932037,2.137694484,Loamy,Tube well,Bahawalpur,"Dates, Millet"
22,72,85,6.391173589,4.505838004,Loamy,Rain-fed,Rawalpindi,"Barley, Maize"
36,67,77,7.152811172,3.625422104,Sandy,Tube well,Lahore,"Wheat, Rice"
32,73,81,5.988992796,1.765449968,Clayey,Rain-fed,Rawalpindi,"Barley, Maize"
58,70,84,6.231049028,2.133411701,Clayey,Canal,Lahore,"Wheat, Rice"
59,70,84,7.550808267,1.677004393,Loamy,Canal,Faisalabad,"Cotton, Sugarcane"
42,62,75,7.010570541,1.378653122,Clayey,Canal,Multan,"Mango, Wheat"
28,74,81,8.753795334,0.577242626,Clayey,Canal,Bahawalpur,"Dates, Millet"
58,66,79,8.718192847,2.23009325,Clayey,Tube well,Bahawalpur,"Dates, Millet"
43,66,79,7.976607593,0.542371613,Clayey,Canal,Lahore,"Wheat, Rice"
58,63,81,6.515499549,2.045085982,Clayey,Canal,Multan,"Mango, Wheat"
23,62,85,8.490127142,3.117364242,Loamy,Canal,Bahawalpur,"Dates, Millet"
27,62,77,6.576415562,1.808493674,Clayey,Tube well,Rawalpindi,"Barley, Maize"
28,72,84,6.481783043,4.861052931,Clayey,Tube well,Multan,"Mango, Wheat"
50,56,76,7.966605025,0.565388228,Loamy,Rain-fed,Faisalabad,"Cotton, Sugarcane"
39,71,84,8.140825437,2.15800884,Sandy,Canal,Multan,"Mango, Wheat"
25,78,76,7.228963452,1.705912911,Clayey,Rain-fed,Rawalpindi,"Barley, Maize"
31,70,77,6.492546046,1.525689245,Loamy,Rain-fed,Faisalabad,"Cotton, Sugarcane"
26,80,83,7.528599957,3.808306688,Clayey,Rain-fed,Faisalabad,"Cotton, Sugarcane"
25,68,77,7.701446446,4.377974999,Clayey,Canal,Bahawalpur,"Dates, Millet"
31,78,76,8.519975748,4.433648255,Clayey,Tube well,Faisalabad,"Cotton, Sugarcane"
60,68,83,6.620900869,2.455030238,Clayey,Tube well,Faisalabad,"Cotton, Sugarcane"
59,62,83,8.104396058,2.624858368,Clayey,Tube well,Lahore,"Wheat, Rice"
22,67,78,6.204090835,1.18531369,Loamy,Canal,Bahawalpur,"Dates, Millet"
36,65,80,6.051091339,4.704774556,Clayey,Rain-fed,Lahore,"Wheat, Rice"
59,60,84,7.690962338,1.935247562,Loamy,Tube well,Bahawalpur,"Dates, Millet"
54,77,85,7.829211144,2.795996657,Sandy,Rain-fed,Multan,"Mango, Wheat"
43,68,81,6.761599706,3.675226693,Sandy,Tube well,Multan,"Mango, Wheat"
28,76,82,6.654425315,2.814346317,Clayey,Canal,Bahawalpur,"Dates, Millet"
42,79,85,6.129533877,4.144421057,Sandy,Canal,Rawalpindi,"Barley, Maize"
32,60,83,8.829273328,2.387126519,Loamy,Canal,Lahore,"Wheat, Rice"
22,78,76,8.621662982,1.117782489,Loamy,Canal,Faisalabad,"Cotton, Sugarcane"
31,79,75,8.204862075,1.306242475,Clayey,Tube well,Multan,"Mango, Wheat"
28,58,81,6.18042747,3.076471618,Clayey,Tube well,Lahore,"Wheat, Rice"
57,58,77,7.978996755,0.817715719,Loamy,Canal,Faisalabad,"Cotton, Sugarcane"
49,55,78,7.863113671,2.456640396,Clayey,Canal,Lahore,"Wheat, Rice"
46,76,77,6.967843048,1.961014199,Loamy,Tube well,Lahore,"Wheat, Rice"
54,61,77,6.206582193,0.734551254,Loamy,Tube well,Lahore,"Wheat, Rice"
38,60,76,8.868741443,4.908374014,Clayey,Tube well,Faisalabad,"Cotton, Sugarcane"
59,55,79,8.766128654,0.753614649,Sandy,Tube well,Faisalabad,"Cotton, Sugarcane"
36,76,75,8.736337905,2.822789344,Loamy,Tube well,Rawalpindi,"Barley, Maize"
57,68,81,8.081095263,3.881977099,Sandy,Canal,Faisalabad,"Cotton, Sugarcane"
35,66,81,6.138243973,3.367151939,Clayey,Tube well,Multan,"Mango, Wheat"
35,64,78,7.496645259,2.536634847,Sandy,Canal,Lahore,"Wheat, Rice"
52,60,79,8.380185271,3.475945813,Clayey,Tube well,Rawalpindi,"Barley, Maize"
27,76,83,6.289614016,4.397569447,Clayey,Canal,Lahore,"Wheat, Rice"
57,60,84,6.586777189,3.379972252,Sandy,Tube well,Faisalabad,"Cotton, Sugarcane"
52,68,78,6.89655198,1.304179124,Loamy,Rain-fed,Faisalabad,"Cotton, Sugarcane"
43,79,79,7.806747656,2.972418981,Loamy,Rain-fed,Bahawalpur,"Dates, Millet"
44,74,85,7.150681303,4.075169886,Clayey,Rain-fed,Faisalabad,"Cotton, Sugarcane"
24,55,78,6.64919573,3.39775492,Loamy,Rain-fed,Multan,"Mango, Wheat"
29,77,75,7.778591618,2.663010694,Sandy,Tube well,Lahore,"Wheat, Rice"
20,60,78,6.358740355,2.521261122,Clayey,Canal,Bahawalpur,"Dates, Millet"
56,67,78,8.255450758,0.596903106,Loamy,Tube well,Rawalpindi,"Barley, Maize"
37,66,85,6.456148474,2.923969454,Clayey,Canal,Rawalpindi,"Barley, Maize"
49,71,76,6.613072145,2.377889327,Sandy,Canal,Faisalabad,"Cotton, Sugarcane"
59,69,80,8.165359297,2.258859138,Loamy,Tube well,Bahawalpur,"Dates, Millet"
20,79,77,7.64867466,4.079459352,Sandy,Tube well,Bahawalpur,"Dates, Millet"
24,56,85,6.545888558,2.375026351,Sandy,Rain-fed,Bahawalpur,"Dates, Millet"
51,72,75,7.104224797,1.659078951,Sandy,Canal,Bahawalpur,"Dates, Millet"
57,73,85,7.358099622,2.283953885,Sandy,Tube well,Multan,"Mango, Wheat"
22,64,82,6.4740245,2.842179345,Clayey,Rain-fed,Bahawalpur,"Dates, Millet"
52,73,79,7.840339389,3.820923422,Clayey,Rain-fed,Bahawalpur,"Dates, Millet"
29,75,75,7.064790365,4.384273581,Loamy,Rain-fed,Multan,"Mango, Wheat"
44,59,78,7.599033472,2.732280714,Clayey,Rain-fed,Lahore,"Wheat, Rice"
41,69,82,6.715587232,3.23558332,Loamy,Canal,Lahore,"Wheat, Rice"
52,56,85,6.81712422,0.598778364,Sandy,Tube well,Multan,"Mango, Wheat"
34,76,80,7.985417393,3.459629602,Loamy,Tube well,Bahawalpur,"Dates, Millet"
42,74,83,7.545258424,1.951537498,Sandy,Canal,Rawalpindi,"Barley, Maize"
34,71,79,7.728998197,2.364483938,Clayey,Rain-fed,Bahawalpur,"Dates, Millet"
27,73,79,7.354973451,3.965784708,Clayey,Rain-fed,Faisalabad,"Cotton, Sugarcane"
30,70,79,7.313122235,4.221619828,Sandy,Canal,Rawalpindi,"Barley, Maize"
57,57,75,7.785039076,2.34045589,Clayey,Rain-fed,Rawalpindi,"Barley, Maize"
27,79,82,6.307004923,1.371608585,Clayey,Rain-fed,Multan,"Mango, Wheat"
32,71,85,6.403982316,3.518409385,Sandy,Canal,Rawalpindi,"Barley, Maize"
31,76,82,7.599279991,2.966040419,Clayey,Rain-fed,Multan,"Mango, Wheat"
33,75,84,7.217018459,2.78812047,Loamy,Canal,Lahore,"Wheat, Rice"
47,80,77,7.561108006,0.773121937,Loamy,Canal,Rawalpindi,"Barley, Maize"
54,62,80,7.489545074,3.214810215,Clayey,Tube well,Multan,"Mango, Wheat"
47,79,78,6.609696734,3.417063364,Sandy,Tube well,Faisalabad,"Cotton, Sugarcane"
35,57,83,7.476800943,3.231255136,Clayey,Rain-fed,Multan,"Mango, Wheat"
53,73,77,7.325451279,4.43947739,Sandy,Canal,Rawalpindi,"Barley, Maize"
45,61,78,6.489389282,2.770821913,Loamy,Tube well,Multan,"Mango, Wheat"
37,78,79,7.786366322,1.575253871,Loamy,Rain-fed,Faisalabad,"Cotton, Sugarcane"
30,75,81,6.408437886,0.87103025,Loamy,Rain-fed,Faisalabad,"Cotton, Sugarcane"
37,55,82,8.423873703,2.279955228,Sandy,Rain-fed,Lahore,"Wheat, Rice"
53,65,76,8.719960893,4.223455349,Loamy,Tube well,Lahore,"Wheat, Rice"
22,60,85,7.811997977,2.97728536,Loamy,Canal,Bahawalpur,"Dates, Millet"
60,61,78,6.317153205,1.330664775,Sandy,Rain-fed,Lahore,"Wheat, Rice"
42,67,77,7.114405288,4.35682009,Clayey,Rain-fed,Lahore,"Wheat, Rice"
39,76,76,8.135900726,1.823071809,Clayey,Canal,Lahore,"Wheat, Rice"
35,63,76,7.714153038,4.204215857,Loamy,Canal,Multan,"Mango, Wheat"
30,65,82,7.103798069,1.824009644,Loamy,Canal,Bahawalpur,"Dates, Millet"
57,56,78,8.861479668,4.923924069,Loamy,Tube well,Bahawalpur,"Dates, Millet"
48,65,78,7.861128148,2.575383357,Loamy,Rain-fed,Multan,"Mango, Wheat"
36,56,83,7.4526709,2.562483553,Sandy,Tube well,Rawalpindi,"Barley, Maize"
40,58,75,7.168096055,2.479830329,Clayey,Tube well,Faisalabad,"Cotton, Sugarcane"
49,69,82,7.26311855,2.305581467,Sandy,Tube well,Bahawalpur,"Dates, Millet"
13,60,25,5.68597166,4.700138354,Loamy,Rain-fed,Lahore,"Wheat, Rice"
25,70,16,5.759237003,2.439847933,Sandy,Canal,Rawalpindi,"Barley, Maize"
31,55,22,5.873171894,2.085615524,Clayey,Canal,Rawalpindi,"Barley, Maize"
